,Doctor's Name,speciality,Facility.Name,,
116,"Joelle Ludwig, LAc",Acupuncturist,St Joseph's Hospital,,
117,"Joanne Hsieh, LAc",Acupuncturist,Yavapai Regional Medical Center,,
118,"Dr. Stephen Coleman, MD, LAc",Acupuncturist,Yuma Regional Medical Center,,
119,"Brian Kelly, LAc",Acupuncturist,John C. Lincoln North Mountain Hospital,,
120,"Diem Truong, LAc, MSTOM",Acupuncturist,Banner Casa Grande Medical Center,,
121,"Ok Jean Keh, LAc",Acupuncturist,Maricopa Medical Center,,
122,"Dr. Jose Colon, MD",Pain Management Specialist,Flagstaff Medical Center,,
123,"Siraj Venjara, LAc, MSTOM",Acupuncturist,St. Joseph's Hospital And Medical Center,,
124,"Joanne Hsieh, LAc",Acupuncturist,Abrazo Central Campus,,
125,"Tzu-Ying Chiang, LAc",Acupuncturist,Chandler Regional Medical Center,,
126,"Dr. Sally Mravcak, MD",Acupuncturist,St Luke's Medical Center,,
127,"Dr. Jennifer Zocca, MD",Pain Management Specialist,Scottsdale Osborn Medical Center,,
128,"Kyung Yoo, LAc",Acupuncturist,Canyon Vista Medical Center,,
129,"Tzu-Ying Chiang, LAc",Acupuncturist,Kingman Regional Medical Center,,
130,"Chung-Ying (Fred) Tsai, PT, LAc, MPT, MSTOM, DACM",Acupuncturist,Banner Boswell Medical Center,,
131,"Igor Vatelman, LAc, MSTOM",Acupuncturist,Summit Healthcare Regional Medical Center,,
132,"Chung-Ying (Fred) Tsai, PT, LAc, MPT, MSTOM, DACM",Acupuncturist,Banner - University Medical Center Tucson Campus,,
133,"Dr. Jennifer Zocca, MD",Pain Management Specialist,Banner Desert Medical Center,,
134,"Dr. Douglas Allen, DO",Physiatrist,Mt. Graham Regional Medical Center,,
135,"Dr. Douglas Allen, DO",Physiatrist,Havasu Regional Medical Center,,
136,"Heather Trujillo, LAc",Acupuncturist,Fort Defiance Indian Hospital,,
137,"Dr. David Satterfield, DC",Chiropractor,Tuba City Regional Health Care Corporation,,
138,"Dr. Pamela Doshner, DC",Chiropractor,Sells Hospital,,
139,"Dr. Patrick Grady, DC",Chiropractor,San Carlos Apache Healthcare,,
140,"Diem Truong, LAc, MSTOM",Acupuncturist,Phoenix Indian Medical Center,,
141,"Tammy Huang, MSTOM, LAc",Acupuncturist,Abrazo Scottsdale Campus,,
142,"Dr. Ari Lerner, MD",Pain Management Specialist,Chinle Comprehensive Health Care Facility,,
143,"Qian Li, LAc",Acupuncturist,Northwest Medical Center,,
144,"Dr. Amir Mahajer, DO",Physiatrist,Scottsdale Shea Medical Center,,
145,"Ani Baran, LAc",Acupuncturist,Banner Baywood Medical Center,,
146,"Deborah Barbiere, LAc, MSTOM, PsyD",Acupuncturist,Banner Thunderbird Medical Center,,
147,"Tom Rhee, LAc",Acupuncturist,Honorhealth Deer Valley Medical Center,,
148,"Dr. Amir Mahajer, DO",Physiatrist,Banner Del E. Webb Medical Center,,
149,"Dr. Sukdeb Datta, MD",Pain Management Specialist,Abrazo Arrowhead Campus,,
150,"Dr. Victoria Szafranska, DC",Chiropractor,Western Arizona Regional Medical Center,,
151,"Dr. Ryan Tichauer, DC",Chiropractor,Mayo Clinic Hospital,,
152,"Dr. Alan Belsky, DC",Chiropractor,Banner Heart Hospital,,
153,"Dr. Cariann Paul, DC",Chiropractor,Arizona Spine And Joint Hospital,,
154,"Dr. Anthony Conte, DC",Chiropractor,"Core Institute Specialty Hospital, The",,
155,"Jungyup Song, DAOM",Acupuncturist,Abrazo West Campus,,
156,"Dr. Xavier Ferland Haroun, DC",Chiropractor,Banner-university Medical Center South Campus,,
157,"Dr. Jong Ho Kim, PhD, LAc",Acupuncturist,Arizona Specialty Hospital,,
158,"Flora Luyando, LAc",Acupuncturist,Whiteriver Phs Indian Hospital,,
159,"Maya Kron, LAc",Acupuncturist,Oro Valley Hospital,,
160,"Diem Truong, LAc, MSTOM",Acupuncturist,Banner Estrella Medical Center,,
161,"Dr. Pamela Doshner, DC",Chiropractor,Valley View Medical Center,,
162,"Dr. Ryan Tichauer, DC",Chiropractor,Mercy Gilbert Medical Center,,
163,"Dr. Jamie Milchanowski, DC",Chiropractor,"Mountain Vista Medical Center, Lp",,
164,"Dr. Elijah Manfredi, DC",Chiropractor,Banner Gateway Medical Center,,
165,"Dr. Ashley Narain, DC",Chiropractor,Scottsdale Thompson Peak Medical Center,,
166,"Dr. Amir Mahajer, DO",Physiatrist,Banner Ironwood Medical Center,,
167,"Kimberly Kulseng, LAc, MSTOM, DACM",Acupuncturist,O.a.s.i.s. Hospital,,
168,"Ryan Whelan, LAc",Acupuncturist,Banner Goldfield Medical Center,,
169,"Heeock Lee, LAc",Acupuncturist,Dignity Health - Arizona General Hospital,,
170,"Dr. Jose Colon, MD",Pain Management Specialist,Santa Cruz Valley Regional Hospital,,
171,"Dr. Michael Y. Mizhiritsky, MD",Physiatrist,Western Regional Medical Center,,
172,"Dr. Ryan Shum, DC",Chiropractor,Wickenburg Community Hospital,,
173,"Dr. Stephanie Bayner, MD",Acupuncturist,Benson Hospital,,
174,"Qian Li, LAc",Acupuncturist,"Northern Cochise Community Hospital, Inc.",,
175,"Christina Wallace, LAc",Acupuncturist,Page Hospital,,
176,"Jennifer Beltrani, LAc",Acupuncturist,Hopi Health Care Center,,
177,"Suzanne Stolzberg, LAc, MS",Acupuncturist,Parker Indian Health Center,,
178,"Dr. Ryan Shum, DC",Chiropractor,Huhu Kam Memorial Hospital,,
179,"Je Lim Song, LAc",Acupuncturist,Sage Memorial Hospital,,
180,"Diem Truong, LAc, MSTOM",Acupuncturist,Little Colorado Medical Center,,
181,"Ji Sung Kim, LAc",Acupuncturist,Copper Queen Community Hospital,,
182,"Keping Du, LAc",Acupuncturist,Holy Cross Hospital,,
183,"Annie Caton-Wong, LAc, DAc",Acupuncturist,Cobre Valley Regional Medical Center,,
184,"Dr. Josephine Huang, MD",Acupuncturist,White Mountain Regional Medical Center,,
185,"Dr. Brian Wraith, DC",Chiropractor,La Paz Regional Hospital,,
186,"Keping Du, LAc",Acupuncturist,Banner Payson Medical Center,,
187,"Andrew Wysocki, LAc",Acupuncturist,Phoenix Children's Hospital,,
188,"Christine Palma, LAc",Acupuncturist,"Hacienda Children's Hospital, Inc.",,
189,"Nancy Gallen, LAc, DACM",Acupuncturist,Siloam Springs Regional Hospital,,
190,"Sarah Heslip, LAc",Acupuncturist,Johnson Regional Medical Center,,
191,"Dr. Stephanie Bayner, MD",Acupuncturist,Washington Regional Medical Center,,
192,"Joannie Campuzano, LAc",Acupuncturist,Chi-st Vincent Infirmary,,
193,"Igor Vatelman, LAc, MSTOM",Acupuncturist,Mercy Hospital Northwest Arkansas,,
194,"Joyce Lilly, DAc, LAc",Acupuncturist,Chambers Memorial Hospital,,
195,"Ani Baran, LAc",Acupuncturist,White County Medical Center,,
196,"Boris Bernadsky, LAc, LMT",Acupuncturist,Mena Regional Health System,,
197,"Zhaoyang (Eileen) Chen, LAc",Acupuncturist,Uams Medical Center,,
198,"Marina Yanovsky, LAc",Acupuncturist,North Arkansas Regional Medical Center,,
199,"Kim Creaven, LAc",Acupuncturist,Sparks Medical Center - Van Buren,,
200,"Dr. Roshni R. Naik, MD",Allergist,Forrest City Medical Center,,
201,"Dr. Roshni R. Naik, MD",Allergist,St Bernards Medical Center,,
202,"Dr. Vahid Rahimian, DO",Allergist,Northwest Medical Center-springdale,,
203,"Dr. Ira Finegold, MD, MS",Allergist,Chi St. Vincent Hospital Hot Springs,,
204,"Dr. Neha Sirohi, MD",Allergist,Baxter Regional Medical Center,,
205,"Dr. Tim Mainardi, MD",Allergist,Conway Regional Medical Center,,
206,"Dr. Mariana Marcu, MD",Allergist,Baptist Health Medical Center North Little Rock,,
207,"Dr. Lisa Ellman-Grunther, MD",Allergist,Arkansas Methodist Medical Center,,
208,"Dr. Julie Kuriakose, MD",Allergist,St Marys Regional Medical Center,,
209,"Dr. Rushita Mehta, MD",Allergist,Five Rivers Medical Center,,
210,"Dr. Julie Kuriakose, MD",Allergist,Ouachita County Medical Center,,
211,"Dr. Steven Schnipper, MD",Allergist,Drew Memorial Hospital,,
212,"Dr. Michael Chandler, MD",Allergist,Sparks Regional Medical Center,,
213,"Dr. Jonathan Field, MD",Allergist,Mercy Hospital Fort Smith,,
214,"Dr. Rose Karanicolas, MD",Allergist,Magnolia Hospital,,
215,"Dr. Sharon Yost, MD",Allergist,Great River Medical Center,,
216,"Dr. Mariana Marcu, MD",Allergist,Jefferson Regional Medical Center,,
217,"Dr. Sarah Silverman, MD",Allergist,Baptist Health Medical Center-stuttgart,,
218,"Dr. Tim Mainardi, MD",Allergist,North Metro Medical Center,,
219,"Dr. Sharon Yost, MD",Allergist,Baptist Health Medical Center-hot Springs County,,
220,"Dr. Mariana Marcu, MD",Allergist,National Park Medical Center,,
221,"Dr. Sanjosh Singh, DO",Dermatologist,Saline Memorial Hospital,,
222,"Dr. Sarah Silverman, MD",Allergist,Helena Regional Medical Center,,
223,"Dr. Tim Mainardi, MD",Allergist,Medical Center Of South Arkansas,,
224,"Dr. Jennifer Toh, MD",Allergist,Baptist Health Medical Center-little Rock,,
225,"Dr. Arthur Lubitz, MD",Allergist,Nea Baptist Memorial Hospital,,
226,"Dr. Rushita Mehta, MD",Allergist,White River Medical Center,,
227,"Dr. Robert Lin, MD",Allergist,Levi Hospital,,
228,"Dr. Mauli Desai, MD",Allergist,"Arkansas Heart Hospital, Llc",,
229,"Dr. Vathani Packianathan, MD",Allergist,St Vincent Medical Center/north,,
230,"Dr. Vathani Packianathan, MD",Allergist,Arkansas Surgical Hospital,,
231,"Dr. Sourab Choudhury, DO",Pediatric Dermatologist,Northwest Health Physicians Specialty Hospital,,
232,"Dr. Jennifer Collins, MD",Allergist,Wadley Regional Medical Center At Hope,,
233,"Dr. Jennifer Collins, MD",Allergist,Baptist Health Medical Center-conway,,
234,"Dr. Arthur Lubitz, MD",Allergist,Arkansas Continued Care Hospital Of Jonesboro,,
235,"Dr. Norman Greeley, MD",Allergist,North Logan Mercy Hospital,,
236,"Dr. Shradha Agarwal, MD",Allergist,River Valley Medical Center,,
237,"Dr. Norman Greeley, MD",Allergist,Mercy Hospital Turner Memorial,,
238,"Dr. Sebastian Lighvani, MD",Allergist,"Eureka Springs Hospital, Llc",,
239,"Dr. Ama Alexis, MD, FAAAAI",Allergist,Mercy Hospital Waldron,,
240,"Dr. Mauli Desai, MD",Allergist,"Izard County Medical Center, Llc",,
241,"Dr. Ama Alexis, MD, FAAAAI",Allergist,Crossridge Community Hospital,,
242,"Dr. Priya Chokshi, MD",Rheumatologist,Mcgehee Hospital,,
243,"Dr. Priya Chokshi, MD",Rheumatologist,Lawrence Memorial Hospital,,
244,"Eduardo Yarur, PA",Physician Assistant,Stone County Medical Center,,
245,"Dr. Gary Stadtmauer, MD",Allergist,Howard Memorial Hospital,,
246,"Eduardo Yarur, PA",Physician Assistant,Baptist Health Medical Center Heber Spings,,
247,"Dr. Ira Finegold, MD, MS",Allergist,Ozark Health,,
248,"Dr. Paula Busse, MD",Allergist,"Dewitt Hospital & Nursing Home, Inc",,
249,"Dr. Paula Busse, MD",Allergist,South Missississpi County Regional Medical Center,,
250,"Dr. Bradley Glodny, MD",Dermatologist,Dallas County Medical Center,,
251,"Godfrey Aneke, NP",Family Nurse Practitioner,Mercy Hospital Booneville,,
252,"Dr. Sharon Yost, MD",Allergist,"De Queen Medical Center, Inc",,
253,"Dr. Jennifer Toh, MD",Allergist,Little River Memorial Hospital,,
254,"Dr. Matthew Pabis, MD",Family Physician,Baptist Health Medical Center-arkadelphia,,
255,"Dr. Vladyslava Doktor, DO",Dermatologist,Fulton County Hospital,,
256,"Dr. Felix Chien, DO",Family Physician,Ashley County Medical Center,,
257,"Dr. Felix Chien, DO",Family Physician,Chi St Vincent Morrilton,,
258,"Dr. Morgan Rabach, MD",Dermatologist,Delta Memorial Hospital,,
259,"Dr. Nathan Saint Amand, MD",Allergist,Bradley County Medical Center,,
260,"Dr. Alison Gruen, MD",Dermatologist,Chicot Memorial Medical Center,,
261,"Dr. Melissa Chan, MD",Internist,Mercy Hospital Berryville,,
262,"Dr. Melissa Chan, MD",Internist,Piggott Community Hospital,,
263,"Dr. Robert L. Buka, MD, JD",Dermatologist,Ozarks Community Hospital Of Gravette,,
264,"Dr. Lyubov Avshalumova, DO",Dermatologist,Arkansas Children's Hospital,,
265,"Dr. Lyubov Avshalumova, DO",Dermatologist,"Arkansas Children's Northwest, Inc",,
266,"Dr. Sourab Choudhury, DO",Pediatric Dermatologist,St Rose Hospital,,
267,"Dr. Dina Began, MD",Dermatologist,St Joseph Hospital,,
268,"Dr. Uchenna Okereke, MD",Dermatologist,Mills-peninsula Medical Center,,
269,"Dr. Charlotte Noorollah, DO",Dermatologist,California Pacific Medical Ctr-davies Campus Hosp,,
270,"Dr. Jonathan Trager, MD",Dermatologist,Queen Of The Valley Medical Center,,
271,"Dr. Sanjosh Singh, DO",Dermatologist,Adventist Health St Helena,,
272,"Dr. Jennifer Geiger, MD, FAAD",Dermatologist,Sutter Amador Hospital,,
273,"Dr. Joyce Davis, MD",Dermatologist,Mercy General Hospital,,
274,"Dr. Lian Mack, MD",Dermatologist,Riverside Community Hospital,,
275,"Dr. Pinkas Lebovits, MD",Dermatologist,Paradise Valley Hospital,,
276,"Dr. Isaac Namdar, MD, FACS",Surgeon,Uc San Diego Health Hillcrest - Hillcrest Med Ctr,,
277,"Dr. Amy Spizuoco, DO",Dermatologist,Grossmont Hospital,,
278,"Dr. Anjali Vekaria, MD",Dermatologist,Mad River Community Hospital,,
279,"Dr. Jennifer Geiger, MD, FAAD",Dermatologist,Oroville Hospital,,
280,"Dr. Janet Prystowsky, MD",Dermatologist,Bakersfield Memorial Hospital,,
281,"Dr. Jessica Feig, MD",Dermatologist,Santa Clara Valley Medical Center,,
282,"Dr. Jessica Feig, MD",Dermatologist,Enloe Medical Center,,
283,"Dr. Syra Hanif, MD",Family Physician,Lac/olive View-ucla Medical Center,,
284,"Dr. Omar Noor, MD, FAAD",Dermatologist,St Elizabeth Community Hospital,,
285,"Dr. Roshni R. Naik, MD",Allergist,Alta Bates Summit Medical Center,,
286,"Dr. David Culang, MD","Ear, Nose & Throat Doctor",El Centro Regional Medical Center,,
287,"Dr. George Castro, MD",Pulmonologist,California Pacific Medical Ctr-pacific Campus Hosp,,
288,"Dr. Tarek Yamany, MD",Dermatologist,San Gorgonio Memorial Hospital,,
289,"Dr. Tarek Yamany, MD",Dermatologist,California Pacific Medical Ctr - St. Luke's Campus,,
290,"Dr. Babar Rao, MD, FAAD",Dermatologist,Antelope Valley Hospital,,
291,"Dr. David Culang, MD","Ear, Nose & Throat Doctor",Kaweah Delta Medical Center,,
292,"Dr. Amy Perlmutter, MD",Dermatologist,Glendale Mem Hospital & Hlth Center,,
293,"Dr. Amy Perlmutter, MD",Dermatologist,Community Regional Medical Center,,
294,"Dr. Karen Burke, MD",Dermatologist,Hollywood Presbyterian Medical Center,,
295,"Lauren Falcone, NP",Adult Nurse Practitioner,Oak Valley Hospital District,,
296,"Dr. Tamara Lazic Strugar, MD, FAAD",Dermatologist,St Joseph Hospital,,
297,"Dr. Tamara Lazic Strugar, MD, FAAD",Dermatologist,Kaiser Foundation Hospital - South San Francisco,,
298,"Dr. Richard Nass, MD","Ear, Nose & Throat Doctor",Kaiser Foundation Hospital-santa Clara,,
299,"Dr. Ami Patel, MD",Internist,Kaiser Foundation Hospital - Walnut Creek,,
300,"Brooke Morton, FNP",Nurse Practitioner,Kaiser Foundation Hospital And Rehab Center,,
301,"Dr. Jeffrey Ahn, MD",Facial Plastic & Reconstructive Surgeon,Kaiser Foundation Hospital - Oakland/richmond,,
302,"Dr. Robert Tamayev, MD, PhD",Allergist,Kaiser Foundation Hospital - San Francisco,,
303,"Emily Eppel, PAC",Physician Assistant,Scripps Mercy Hospital,,
304,"Dr. Alison Gruen, MD",Dermatologist,Providence Little Co Of Mary Med Ctr San Pedro,,
305,"Dr. Anthony Del Signore, MD, PharmD",Sinus Surgeon / Rhinologist,St Johns Regional Medical Center,,
306,"Dr. Louise-Nicole Moulin, MD","Ear, Nose & Throat Doctor",St Joseph's Medical Center Of Stockton,,
307,"Dr. Kristina Goldenberg, MD",Dermatologist,Community Hospital Of San Bernardino,,
308,"Dr. Roshni R. Naik, MD",Allergist,Sonoma Valley Hospital,,
309,"Dr. Robert J. Bos, MD",Internist,Community Hospital Of Huntington Park,,
310,"Dr. Robert L. Buka, MD, JD",Dermatologist,Saint Agnes Medical Center,,
311,"Dr. Amy Lewis, MD",Dermatologist,"West Covina Medical Center, Inc",,
312,"Dr. Keith Uleis, MD",Primary Care Doctor,San Antonio Regional Hospital,,
313,"Dr. Monica Halem, MD, FAAD",Dermatologist,Sharp Memorial Hospital,,
314,"Dr. Keith Uleis, MD",Primary Care Doctor,Sutter Solano Medical Center,,
315,"Dr. Fitzgeraldo Sanchez, MD",Dermatologist,Parkview Community Hospital Medical Center,,
316,"Dr. Fitzgeraldo Sanchez, MD",Dermatologist,White Memorial Medical Center,,
317,"Dr. Gregory Tsai, MD","Ear, Nose & Throat Doctor",Saint Francis Medical Center,,
318,"Dr. Rajiv Agashiwala, DO",Family Physician,Marian Regional Medical Center,,
319,"Kendra Joseph, PAC",Physician Assistant,"Sutter Medical Center, Sacramento",,
320,"Dr. Diana Nassar, MD",Family Physician,Lompoc Valley Medical Center,,
321,"Meulan Amen, NP",Adult Nurse Practitioner,Santa Monica - Ucla Med Ctr & Orthopaedic Hospital,,
322,"Dr. Calvin Wei, MD","Ear, Nose & Throat Doctor",San Mateo Medical Center,,
323,"Dr. Douglas Altchek, MD",Dermatologist,Palomar Health Downtown Campus,,
324,"Dr. Calvin Wei, MD","Ear, Nose & Throat Doctor",Northridge Hospital Medical Center,,
325,"Dr. Jonathan Ungar, MD",Dermatologist,Doctors Hospital Of Manteca,,
326,"Dr. Jared Dropkin, DO",Family Physician,Adventist Health Hanford,,
327,"Paria Torabi, PA",Physician Assistant,Dameron Hospital,,
